seed,baseline,B_max,delta,eta,oscillation_rate,recovery_steps_per_episode,bound_ratio,bound_violation_rate,regret_vs_pi_rb
47,BL-UNBOUNDED-BRANCHING,3,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.02,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.05,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,5,0.2,0.08,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,5,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,5,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,5,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.02,0.0,1.0,0.045454545454545456,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.05,1.0,1.0,0.045454545454545456,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.08,1.0,1.0,0.045454545454545456,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.02,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.05,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.08,0.0,1.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.02,0.0,2.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.05,1.0,2.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.08,1.0,2.0,0.09090909090909091,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.02,0.0,2.0,0.18181818181818182,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.05,0.0,2.0,0.18181818181818182,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.08,0.0,2.0,0.18181818181818182,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.02,0.0,3.0,0.13636363636363635,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.02,0.0,3.0,0.125,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.02,0.0,3.0,0.125,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.02,0.0,3.0,0.125,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.05,1.0,3.0,0.13636363636363635,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.05,1.0,3.0,0.125,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.05,1.0,3.0,0.125,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.05,1.0,3.0,0.125,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.08,1.0,3.0,0.13636363636363635,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.08,1.0,3.0,0.125,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.08,1.0,3.0,0.125,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.05,0.08,1.0,3.0,0.125,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.02,0.0,3.0,0.2727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.02,0.0,3.0,0.25,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.02,0.0,3.0,0.25,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.02,0.0,3.0,0.25,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.05,0.0,3.0,0.2727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.05,0.0,3.0,0.25,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.05,0.0,3.0,0.25,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.05,0.0,3.0,0.25,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.08,0.0,3.0,0.2727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.08,0.0,3.0,0.25,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.08,0.0,3.0,0.25,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.1,0.08,0.0,3.0,0.25,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.02,0.0,3.0,0.5,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.02,0.0,3.0,0.5,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.02,0.0,3.0,0.5,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.02,0.0,3.0,0.5,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.05,0.0,3.0,0.5,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.05,0.0,3.0,0.5,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.05,0.0,3.0,0.5,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.05,0.0,3.0,0.5,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.08,0.0,3.0,0.5,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.08,0.0,3.0,0.5,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.08,0.0,3.0,0.5,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,3,0.2,0.08,0.0,3.0,0.5,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.02,0.0,5.0,0.22727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.05,1.0,5.0,0.22727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.08,1.0,5.0,0.22727272727272727,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.02,0.0,5.0,0.45454545454545453,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.05,0.0,5.0,0.45454545454545453,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.08,0.0,5.0,0.45454545454545453,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.065
29,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.065
47,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.065
89,BL-FIXED-DEPTH-BACKTRACK,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.065
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.02,0.0,1.0,0.045454545454545456,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.02,0.0,1.0,0.041666666666666664,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.05,1.0,1.0,0.045454545454545456,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.05,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.08,1.0,1.0,0.045454545454545456,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.05,0.08,1.0,1.0,0.041666666666666664,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.02,0.0,1.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.02,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.05,0.0,1.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.05,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.08,0.0,1.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.1,0.08,0.0,1.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.02,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.05,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,1,0.2,0.08,0.0,1.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.02,0.0,2.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.02,0.0,2.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.05,1.0,2.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.05,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.08,1.0,2.0,0.09090909090909091,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
